participantId,angle,response,feedback,trial,correct,phase
018D8BD106A5432D92E5A336FE7F0C59,42.png,0,1,1,0,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,0,2,0,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,0,3,0,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,1,4,1,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,0,0,5,1,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,0,6,0,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,0,1,7,0,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,0,8,0,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,0,1,9,0,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,0,10,0,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,0,11,0,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,0,12,0,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,1,13,1,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,0,0,14,1,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,1,15,1,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,0,16,0,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,1,17,1,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,0,18,0,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,0,0,19,1,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,1,20,1,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,0,0,21,1,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,0,22,0,practice
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,0,23,0,practice
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,1,24,1,practice
018D8BD106A5432D92E5A336FE7F0C59,77.png,1,NA,25,NA,test
018D8BD106A5432D92E5A336FE7F0C59,77.png,1,NA,26,NA,test
018D8BD106A5432D92E5A336FE7F0C59,70.png,1,NA,27,NA,test
018D8BD106A5432D92E5A336FE7F0C59,70.png,1,NA,28,NA,test
018D8BD106A5432D92E5A336FE7F0C59,63.png,1,NA,29,NA,test
018D8BD106A5432D92E5A336FE7F0C59,63.png,1,NA,30,NA,test
018D8BD106A5432D92E5A336FE7F0C59,14.png,0,NA,31,NA,test
018D8BD106A5432D92E5A336FE7F0C59,14.png,0,NA,32,NA,test
018D8BD106A5432D92E5A336FE7F0C59,49.png,1,NA,33,NA,test
018D8BD106A5432D92E5A336FE7F0C59,49.png,1,NA,34,NA,test
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,NA,35,NA,test
018D8BD106A5432D92E5A336FE7F0C59,56.png,1,NA,36,NA,test
018D8BD106A5432D92E5A336FE7F0C59,28.png,0,NA,37,NA,test
018D8BD106A5432D92E5A336FE7F0C59,28.png,0,NA,38,NA,test
018D8BD106A5432D92E5A336FE7F0C59,21.png,0,NA,39,NA,test
018D8BD106A5432D92E5A336FE7F0C59,21.png,0,NA,40,NA,test
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,NA,41,NA,test
018D8BD106A5432D92E5A336FE7F0C59,42.png,1,NA,42,NA,test
018D8BD106A5432D92E5A336FE7F0C59,35.png,1,NA,43,NA,test
018D8BD106A5432D92E5A336FE7F0C59,35.png,0,NA,44,NA,test
018D8BD106A5432D92E5A336FE7F0C59,84.png,1,NA,45,NA,test
018D8BD106A5432D92E5A336FE7F0C59,84.png,1,NA,46,NA,test
018D8BD106A5432D92E5A336FE7F0C59,7.png,0,NA,47,NA,test
018D8BD106A5432D92E5A336FE7F0C59,7.png,0,NA,48,NA,test
01BDCB71123048979A77AB656EEBD585,42.png,1,1,1,1,practice
01BDCB71123048979A77AB656EEBD585,56.png,1,0,2,0,practice
01BDCB71123048979A77AB656EEBD585,42.png,1,1,3,1,practice
01BDCB71123048979A77AB656EEBD585,56.png,1,0,4,0,practice
01BDCB71123048979A77AB656EEBD585,56.png,1,0,5,0,practice
01BDCB71123048979A77AB656EEBD585,42.png,0,1,6,0,practice
01BDCB71123048979A77AB656EEBD585,42.png,1,0,7,0,practice
01BDCB71123048979A77AB656EEBD585,56.png,1,0,8,0,practice
01BDCB71123048979A77AB656EEBD585,56.png,0,0,9,1,practice
01BDCB71123048979A77AB656EEBD585,42.png,1,1,10,1,practice
01BDCB71123048979A77AB656EEBD585,42.png,1,0,11,0,practice
01BDCB71123048979A77AB656EEBD585,56.png,1,0,12,0,practice
01BDCB71123048979A77AB656EEBD585,42.png,1,1,13,1,practice
01BDCB71123048979A77AB656EEBD585,42.png,0,1,14,0,practice
01BDCB71123048979A77AB656EEBD585,56.png,1,0,15,0,practice
01BDCB71123048979A77AB656EEBD585,56.png,1,0,16,0,practice
01BDCB71123048979A77AB656EEBD585,42.png,1,1,17,1,practice
01BDCB71123048979A77AB656EEBD585,56.png,0,0,18,1,practice
01BDCB71123048979A77AB656EEBD585,42.png,1,1,19,1,practice
01BDCB71123048979A77AB656EEBD585,56.png,1,0,20,0,practice
01BDCB71123048979A77AB656EEBD585,56.png,1,0,21,0,practice
01BDCB71123048979A77AB656EEBD585,42.png,1,1,22,1,practice
01BDCB71123048979A77AB656EEBD585,56.png,0,0,23,1,practice
01BDCB71123048979A77AB656EEBD585,42.png,1,0,24,0,practice
01BDCB71123048979A77AB656EEBD585,70.png,1,NA,25,NA,test
01BDCB71123048979A77AB656EEBD585,70.png,1,NA,26,NA,test
01BDCB71123048979A77AB656EEBD585,56.png,0,NA,27,NA,test
01BDCB71123048979A77AB656EEBD585,56.png,0,NA,28,NA,test
01BDCB71123048979A77AB656EEBD585,42.png,1,NA,29,NA,test
01BDCB71123048979A77AB656EEBD585,42.png,1,NA,30,NA,test
01BDCB71123048979A77AB656EEBD585,77.png,0,NA,31,NA,test
01BDCB71123048979A77AB656EEBD585,77.png,0,NA,32,NA,test
01BDCB71123048979A77AB656EEBD585,21.png,1,NA,33,NA,test
01BDCB71123048979A77AB656EEBD585,21.png,1,NA,34,NA,test
01BDCB71123048979A77AB656EEBD585,84.png,0,NA,35,NA,test
01BDCB71123048979A77AB656EEBD585,84.png,0,NA,36,NA,test
01BDCB71123048979A77AB656EEBD585,14.png,1,NA,37,NA,test
01BDCB71123048979A77AB656EEBD585,14.png,1,NA,38,NA,test
01BDCB71123048979A77AB656EEBD585,28.png,1,NA,39,NA,test
