"nSubj","ph","nTrial","nBlock","trialType","actO","out"
1,1,1,1,"AC-",0.0972749036933086,"actO.1"
1,1,2,1,"AB+",0.0967880607180146,"actO.1"
1,1,3,1,"CD+",0.0947416115349334,"actO.1"
1,1,4,1,"ctx-",0.0955244237230461,"actO.1"
1,1,5,1,"BD-",0.0952730415379639,"actO.1"
1,1,6,2,"BD-",0.0955045991433002,"actO.1"
1,1,7,2,"ctx-",0.0964015568052907,"actO.1"
1,1,8,2,"AC-",0.0992245411329437,"actO.1"
1,1,9,2,"CD+",0.0963534010943069,"actO.1"
1,1,10,2,"AB+",0.0988515992780241,"actO.1"
1,1,11,3,"AC-",0.100501271551172,"actO.1"
1,1,12,3,"BD-",0.0970812106045643,"actO.1"
1,1,13,3,"AB+",0.100225769590502,"actO.1"
1,1,14,3,"CD+",0.0987470216598168,"actO.1"
1,1,15,3,"ctx-",0.0999392983159892,"actO.1"
1,1,16,4,"BD-",0.0990686217686127,"actO.1"
1,1,17,4,"ctx-",0.10123159807961,"actO.1"
1,1,18,4,"CD+",0.101342121274788,"actO.1"
1,1,19,4,"AC-",0.106314581932911,"actO.1"
1,1,20,4,"AB+",0.104565241364448,"actO.1"
1,1,21,5,"AC-",0.108064692191348,"actO.1"
1,1,22,5,"ctx-",0.104597914693917,"actO.1"
1,1,23,5,"AB+",0.106613347621221,"actO.1"
1,1,24,5,"BD-",0.103356047538656,"actO.1"
1,1,25,5,"CD+",0.106302857625211,"actO.1"
1,1,26,6,"CD+",0.107235134648235,"actO.1"
1,1,27,6,"AC-",0.114082281291292,"actO.1"
1,1,28,6,"BD-",0.106338769342201,"actO.1"
1,1,29,6,"ctx-",0.110565430468117,"actO.1"
1,1,30,6,"AB+",0.11258723547496,"actO.1"
1,1,31,7,"CD+",0.11205005363218,"actO.1"
1,1,32,7,"AC-",0.120107048441138,"actO.1"
1,1,33,7,"BD-",0.110204939021534,"actO.1"
1,1,34,7,"ctx-",0.115382456932879,"actO.1"
1,1,35,7,"AB+",0.11742907053874,"actO.1"
1,1,36,8,"BD-",0.112423128598718,"actO.1"
1,1,37,8,"AC-",0.126197636434138,"actO.1"
1,1,38,8,"AB+",0.120254753727752,"actO.1"
1,1,39,8,"CD+",0.119994498894863,"actO.1"
1,1,40,8,"ctx-",0.121144940525797,"actO.1"
1,1,41,9,"AB+",0.124010860041337,"actO.1"
1,1,42,9,"ctx-",0.123680906298695,"actO.1"
1,1,43,9,"BD-",0.118985099999075,"actO.1"
1,1,44,9,"AC-",0.137205952845654,"actO.1"
1,1,45,9,"CD+",0.127515488648762,"actO.1"
1,1,46,10,"CD+",0.128928361268413,"actO.1"
1,1,47,10,"AC-",0.142571037443548,"actO.1"
1,1,48,10,"BD-",0.124388483595544,"actO.1"
1,1,49,10,"AB+",0.135083143381772,"actO.1"
1,1,50,10,"ctx-",0.133736194641937,"actO.1"
1,1,51,11,"AB+",0.138489724624767,"actO.1"
1,1,52,11,"ctx-",0.136785841866463,"actO.1"
1,1,53,11,"AC-",0.155684868251612,"actO.1"
1,1,54,11,"CD+",0.142320409281889,"actO.1"
1,1,55,11,"BD-",0.133977546881963,"actO.1"
1,1,56,12,"CD+",0.14635600454165,"actO.1"
1,1,57,12,"BD-",0.137387526967061,"actO.1"
1,1,58,12,"AC-",0.168995261758977,"actO.1"
1,1,59,12,"ctx-",0.147847926316349,"actO.1"
1,1,60,12,"AB+",0.155832322848723,"actO.1"
1,1,61,13,"BD-",0.143638771915999,"actO.1"
1,1,62,13,"ctx-",0.152337185223037,"actO.1"
1,1,63,13,"AB+",0.162327639500242,"actO.1"
1,1,64,13,"AC-",0.185137675439032,"actO.1"
1,1,65,13,"CD+",0.165706882251665,"actO.1"
1,1,66,14,"AB+",0.171330864768599,"actO.1"
1,1,67,14,"AC-",0.19801116418241,"actO.1"
1,1,68,14,"BD-",0.15963692644371,"actO.1"
